ID,nDissSteps,pKa,pKa_1,pKa_2,pKaType,pKaType_1,pKaType_2,ChargeA,ChargeA_1,ChargeA_2,ChargeA_3,ChargeB,ChargeB_1,ChargeB_2,ChargeB_3
331,3,-0.0412,4.8,16,1,1,0,0,0,0,0,2,1,0,0
332,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
333,3,2.33,15,16,1,0,0,0,0,0,0,1,0,0,0
334,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
335,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
336,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
337,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
338,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1
339,3,-0.23,15,16,1,0,0,0,0,0,0,1,0,0,0
340,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
341,3,3.62,15,16,1,0,0,0,0,0,0,1,0,0,0
342,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
343,3,3.4,15,16,1,0,0,0,0,0,0,1,0,0,0
344,3,0.0142,15,16,1,0,0,0,0,0,0,1,0,0,0
345,3,0.99,15,16,1,0,0,0,0,0,0,1,0,0,0
346,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
347,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
348,3,2.29,15,16,-1,0,0,0,-1,-1,-1,1,1,1,1
349,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1
350,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1
351,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1
352,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
353,3,3.43,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
354,3,2.3,15,16,1,0,0,0,0,0,0,1,0,0,0
355,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1
356,3,1.84,15,16,1,0,0,0,0,0,0,1,0,0,0
357,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
358,3,2.29,15,16,1,0,0,0,0,0,0,1,0,0,0
359,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1
360,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1
361,3,2.35,15,16,-1,0,0,0,-1,-1,-1,1,1,1,1
362,3,2.21,3.24,16,-1,-1,0,0,-1,-2,-2,1,1,1,1
363,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
364,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
365,3,1.39,15,16,1,0,0,0,0,0,0,1,0,0,0
366,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
367,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
368,3,3.46,15,16,1,0,0,0,0,0,0,2,1,1,1
369,3,3.28,15,16,1,0,0,0,0,0,0,1,0,0,0
370,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1
371,3,2.55,15,16,1,0,0,0,0,0,0,1,0,0,0
372,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
